SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
"ACA416","30","2023","8/01/2023 8:00:00 AM","0.048","0.033","0.439","0.17","0.053","0.024","0.147","0.201","0.099","0.289","0.11","0.67","0.531","7/25/2023"
"ACA416","31","2023","8/08/2023 8:00:00 AM","0.037","0.183","0.157","0.061","0.055","0.033","0.255","0.16","0.232","-","-","0.412","0.386","8/01/2023"
"ACA416","32","2023","8/15/2023 8:00:00 AM","0.041","0.033","0.234","0.091","0.041","0.023","0.165","0.129","0.1","-","-","0.526","0.33","8/08/2023"
"ACA416","33","2023","8/22/2023 8:00:00 AM","0.035","0.05","0.171","0.066","0.041","0.018","0.102","0.154","0.133","-","-","0.376","0.301","8/15/2023"
"ACA416","34","2023","8/29/2023 8:00:00 AM","0.029","0.051","0.112","0.043","0.025","0.018","0.119","0.074","0.114","-","-","0.286","0.225","8/22/2023"
"ACA416","35","2023","9/05/2023 8:00:00 AM","0.089","0.093","0.206","0.08","0.038","0.034","0.184","0.186","0.44","-","-","0.471","0.643","8/29/2023"
"ACA416","36","2023","9/12/2023 8:00:00 AM","0.106","0.033","0.415","0.161","0.061","0.033","0.128","0.239","0.139","-","-","1.102","0.548","9/05/2023"
"ACA416","37","2023","9/19/2023 8:00:00 AM","0.019","0.078","0.091","0.035","0.021","0.01","0.06","0.088","0.076","-","-","0.215","0.166","9/12/2023"
"ACA416","38","2023","9/26/2023 8:00:00 AM","0.034","0.165","0.093","0.036","0.051","0.02","0.136","0.1","0.148","-","-","0.302","0.24","9/19/2023"
"ACA416","39","2023","10/03/2023 8:00:00 AM","0.152","0.034","0.239","0.093","0.066","0.03","0.066","0.218","0.203","-","-","0.432","0.438","9/26/2023"
"ACA416","40","2023","10/10/2023 8:00:00 AM","0.081","1.181","0.155","0.06","0.055","0.109","0.864","0.105","0.454","-","-","0.73","0.607","10/03/2023"
"ACA416","41","2023","10/17/2023 8:00:00 AM","0.04","0.13","0.123","0.048","0.026","0.022","0.147","0.165","0.267","-","-","0.478","0.388","10/10/2023"
"ACA416","42","2023","10/24/2023 8:00:00 AM","0.026","0.307","0.099","0.038","0.029","0.027","0.243","0.049","0.181","-","-","0.29","0.279","10/17/2023"
"ACA416","43","2023","10/31/2023 8:00:00 AM","0.118","0.038","0.404","0.157","0.046","0.035","0.207","0.192","0.628","-","-","0.579","1.026","10/24/2023"
"ACA416","44","2023","11/07/2023 8:00:00 AM","0.07","0.372","0.206","0.08","0.034","0.051","0.352","0.195","0.484","-","-","0.681","0.687","10/31/2023"
"ACA416","45","2023","11/14/2023 8:00:00 AM","0.021","0.079","0.082","0.032","0.022","0.018","0.141","0.142","0.164","-","-","0.526","0.245","11/07/2023"
"ACA416","46","2023","11/21/2023 8:00:00 AM","0.099","0.405","0.213","0.083","0.037","0.061","0.432","0.132","0.504","-","-","0.674","0.713","11/14/2023"
"ACA416","47","2023","11/28/2023 8:00:00 AM","0.059","0.843","0.09","0.035","0.029","0.061","0.498","0.068","0.175","-","-","0.411","0.264","11/21/2023"
"ACA416","48","2023","12/05/2023 8:00:00 AM","0.063","0.429","0.258","0.1","0.037","0.052","0.4","0.23","0.883","-","-","0.564","1.137","11/28/2023"
"ACA416","49","2023","12/12/2023 8:00:00 AM","0.029","0.519","0.907","0.352","0.027","0.037","0.359","0.206","0.392","-","-","0.488","1.285","12/05/2023"
"ACA416","50","2023","12/19/2023 8:00:00 AM","0.109","2.545","0.126","0.049","0.069","0.164","1.356","0.122","0.367","-","-","0.65","0.49","12/12/2023"
"ACA416","51","2023","12/26/2023 8:00:00 AM","0.038","0.551","0.078","0.03","0.028","0.047","0.371","0.082","0.403","-","-","0.288","0.479","12/19/2023"
"ACA416","52","2023","1/02/2024 8:00:00 AM","0.011","0.04","0.076","0.029","0.015","0.006","0.023","0.099","0.066","-","-","0.226","0.141","12/26/2023"
"ALB801","27","2023","7/11/2023 8:00:00 AM","0.326","0.016","0.82","0.318","0.112","0.055","0.012","0.353","0.221","1.254","0.479","0.861","1.027","7/04/2023"
"ALB801","28","2023","7/18/2023 8:00:00 AM","0.352","0.031","0.749","0.291","0.323","0.06","0.015","0.908","1.346","1.433","0.547","1.096","2.083","7/11/2023"
"ALB801","29","2023","7/25/2023 8:00:00 AM","0.186","0.02","0.888","0.345","0.139","0.037","0.009","0.434","0.186","1.295","0.494","0.993","1.06","7/18/2023"
"ALB801","30","2023","8/01/2023 8:00:00 AM","-","-","-","-","-","-","-","-","-","-","-","-","-","7/25/2023"
"ALB801","32","2023","8/15/2023 8:00:00 AM","0.137","0.016","0.279","0.108","0.063","0.027","0.013","0.169","0.098","2.239","0.854","0.459","0.372","8/08/2023"
"ALB801","33","2023","8/22/2023 8:00:00 AM","0.224","0.016","0.422","0.164","0.078","0.04","0.011","0.329","0.299","1.624","0.62","0.81","0.714","8/15/2023"
"ALB801","34","2023","8/29/2023 8:00:00 AM","0.243","0.016","0.795","0.308","0.145","0.048","0.012","0.474","0.251","1.544","0.589","1.15","1.034","8/22/2023"
"ALB801","35","2023","9/05/2023 8:00:00 AM","0.624","0.037","0.401","0.156","0.312","0.102","0.042","0.863","1.093","1.365","0.521","0.97","1.487","8/29/2023"
"ALB801","36","2023","9/12/2023 8:00:00 AM","0.266","0.016","0.702","0.272","0.083","0.056","0.101","0.316","0.203","0.751","0.287","0.902","0.894","9/05/2023"
"ALB801","37","2023","9/19/2023 8:00:00 AM","0.627","0.02","0.422","0.164","0.216","0.105","0.027","0.356","0.745","1.154","0.44","0.687","1.161","9/12/2023"
"ALB801","38","2023","9/26/2023 8:00:00 AM","0.383","0.016","0.457","0.177","0.072","0.073","0.033","0.254","0.28","0.915","0.349","0.716","0.73","9/19/2023"
"ALB801","39","2023","10/03/2023 8:00:00 AM","0.308","0.021","0.276","0.107","0.051","0.042","0.018","0.354","0.679","0.788","0.301","0.983","0.951","9/26/2023"
"ALB801","40","2023","10/10/2023 8:00:00 AM","0.375","0.016","0.347","0.135","0.066","0.062","0.022","0.18","0.323","3.329","1.27","0.414","0.664","10/03/2023"
"ALB801","41","2023","10/17/2023 8:00:00 AM","0.623","0.016","0.262","0.102","0.061","0.136","0.092","0.203","0.881","0.474","0.181","0.798","1.139","10/10/2023"
"ALB801","42","2023","10/24/2023 8:00:00 AM","0.186","0.016","0.264","0.102","0.03","0.025","0.022","0.247","0.418","1.206","0.46","0.491","0.678","10/17/2023"
"ALB801","43","2023","10/31/2023 8:00:00 AM","0.161","0.086","0.16","0.062","0.037","0.021","0.061","0.645","1.313","1.73","0.66","0.756","1.471","10/24/2023"
"ALB801","44","2023","11/07/2023 8:00:00 AM","0.279","0.105","0.118","0.046","0.063","0.047","0.052","1.526","4.056","1.002","0.382","1.367","4.173","10/31/2023"
"ALB801","45","2023","11/14/2023 8:00:00 AM","0.201","0.059","0.224","0.087","0.032","0.031","0.048","0.431","0.956","1.407","0.537","0.619","1.177","11/07/2023"
"ALB801","46","2023","11/21/2023 8:00:00 AM","0.645","0.115","0.379","0.147","0.041","0.068","0.096","0.209","0.664","2.119","0.809","0.46","1.037","11/14/2023"
"ALB801","47","2023","11/28/2023 8:00:00 AM","0.396","0.11","0.194","0.075","0.04","0.053","0.09","0.424","1.203","2.795","1.067","0.717","1.394","11/21/2023"
"ALB801","48","2023","12/05/2023 8:00:00 AM","0.46","0.111","0.203","0.079","0.036","0.06","0.079","0.522","1.804","2.599","0.992","0.59","2.003","11/28/2023"
"ALB801","49","2023","12/12/2023 8:00:00 AM","0.164","0.156","0.111","0.043","0.03","0.02","0.106","0.62","1.751","2.184","0.833","0.526","1.86","12/05/2023"
"ALB801","50","2023","12/19/2023 8:00:00 AM","0.109","0.132","0.348","0.135","0.027","0.016","0.09","0.382","1.027","1.786","0.682","0.437","1.369","12/12/2023"
"ALB801","51","2023","12/26/2023 8:00:00 AM","0.146","0.091","0.259","0.1","0.032","0.023","0.069","0.569","1.646","1.251","0.477","0.393","1.901","12/19/2023"
"ALB801","52","2023","1/02/2024 8:00:00 AM","0.197","0.218","0.182","0.071","0.04","0.027","0.136","0.514","1.579","1.946","0.743","0.483","1.758","12/26/2023"
"ALC188","27","2023","7/11/2023 8:00:00 AM","0.336","0.967","0.451","0.175","0.105","0.148","0.946","0.285","1.018","0.582","0.222","1.847","1.462","7/04/2023"
"ALC188","28","2023","7/18/2023 8:00:00 AM","0.811","1.33","0.438","0.17","0.179","0.267","1.409","0.367","1.782","0.527","0.201","2.89","2.214","7/11/2023"
"ALC188","29","2023","7/25/2023 8:00:00 AM","0.595","0.141","0.609","0.236","0.112","0.142","0.564","0.198","1.149","0.436","0.166","1.994","1.749","7/18/2023"
"ALC188","30","2023","8/01/2023 8:00:00 AM","0.729","0.068","0.655","0.254","0.114","0.134","0.474","0.359","1.303","0.553","0.211","2.172","1.947","7/25/2023"
"ALC188","31","2023","8/08/2023 8:00:00 AM","0.497","0.407","0.545","0.211","0.085","0.128","0.753","0.452","1.202","0.564","0.215","2.483","1.738","8/01/2023"
"ALC188","32","2023","8/15/2023 8:00:00 AM","0.497","0.727","0.483","0.187","0.101","0.162","1.046","0.44","1.328","0.665","0.254","2.691","1.803","8/08/2023"
"ALC188","33","2023","8/22/2023 8:00:00 AM","0.695","0.475","0.622","0.241","0.098","0.136","0.669","0.244","1.005","0.654","0.25","1.62","1.616","8/15/2023"
"ALC188","34","2023","8/29/2023 8:00:00 AM","0.581","0.114","0.87","0.338","0.104","0.096","0.402","0.423","0.718","0.672","0.256","1.861","1.574","8/22/2023"
"ALC188","35","2023","9/05/2023 8:00:00 AM","0.429","0.078","0.796","0.309","0.09","0.07","0.263","0.473","0.502","0.59","0.225","1.814","1.285","8/29/2023"
"ALC188","36","2023","9/12/2023 8:00:00 AM","0.339","0.061","0.65","0.252","0.079","0.066","0.335","0.426","0.818","0.604","0.231","1.561","1.458","9/05/2023"
"ALC188","37","2023","9/19/2023 8:00:00 AM","0.224","0.039","0.659","0.256","0.09","0.038","0.148","0.458","0.327","0.462","0.176","1.425","0.975","9/12/2023"
"ALC188","38","2023","9/26/2023 8:00:00 AM","0.128","0.033","0.454","0.176","0.055","0.037","0.222","0.348","0.367","0.36","0.137","1.199","0.814","9/19/2023"
"ALC188","39","2023","10/03/2023 8:00:00 AM","0.3","0.119","0.703","0.273","0.066","0.053","0.27","0.418","0.508","0.796","0.304","1.404","1.2","9/26/2023"
"ALC188","40","2023","10/10/2023 8:00:00 AM","0.276","0.15","0.355","0.138","0.133","0.056","0.356","0.245","0.596","0.616","0.235","0.933","0.946","10/03/2023"
"ALC188","41","2023","10/17/2023 8:00:00 AM","0.304","0.061","0.425","0.165","0.095","0.029","0.15","0.27","0.27","0.44","0.168","1.03","0.688","10/10/2023"
"ALC188","42","2023","10/24/2023 8:00:00 AM","0.49","0.186","0.742","0.288","0.115","0.066","0.391","0.184","0.645","0.58","0.221","1.329","1.375","10/17/2023"
"ALC188","43","2023","10/31/2023 8:00:00 AM","0.179","1.306","0.253","0.098","0.114","0.165","1.264","0.169","0.977","0.365","0.139","1.504","1.226","10/24/2023"
"ALC188","44","2023","11/07/2023 8:00:00 AM","0.218","0.211","0.469","0.182","0.065","0.07","0.48","0.179","0.758","0.486","0.185","1.083","1.22","10/31/2023"
"ALC188","45","2023","11/14/2023 8:00:00 AM","0.101","0.187","0.19","0.074","0.065","0.039","0.253","0.251","0.515","0.348","0.133","0.749","0.702","11/07/2023"
"ALC188","46","2023","11/21/2023 8:00:00 AM","0.143","0.06","0.432","0.168","0.058","0.026","0.117","0.395","0.39","0.479","0.183","1.081","0.815","11/14/2023"
"ALC188","47","2023","11/28/2023 8:00:00 AM","0.108","0.038","0.481","0.187","0.065","0.01","0.053","0.291","0.156","0.38","0.145","0.778","0.63","11/21/2023"
"ALC188","48","2023","12/05/2023 8:00:00 AM","0.461","0.035","0.427","0.166","0.125","0.035","0.149","0.264","0.524","0.755","0.288","1.043","0.944","11/28/2023"
"ALC188","49","2023","12/12/2023 8:00:00 AM","0.225","0.44","0.3","0.116","0.071","0.06","0.407","0.171","0.522","0.734","0.28","0.674","0.817","12/05/2023"
"ALC188","50","2023","12/19/2023 8:00:00 AM","0.163","0.266","0.358","0.139","0.086","0.055","0.389","0.151","0.626","0.807","0.308","0.676","0.978","12/12/2023"
"ALC188","51","2023","12/26/2023 8:00:00 AM","0.121","0.102","0.403","0.156","0.102","0.072","0.552","0.101","0.899","0.784","0.299","1.011","1.296","12/19/2023"
"ALC188","52","2023","1/02/2024 8:00:00 AM","0.227","0.042","0.521","0.202","0.104","0.032","0.168","0.202","0.542","0.869","0.332","0.814","1.055","12/26/2023"
"ARE128","27","2023","7/11/2023 8:00:00 AM","0.116","0.036","0.939","0.364","0.125","0.021","0.015","0.538","0.168","0.404","0.154","1.293","1.092","7/04/2023"
"ARE128","28","2023","7/18/2023 8:00:00 AM","0.242","0.033","0.934","0.362","0.088","0.034","0.019","0.602","0.159","0.359","0.137","1.473","1.078","7/11/2023"
"ARE128","29","2023","7/25/2023 8:00:00 AM","0.16","0.032","0.824","0.32","0.081","0.021","0.015","0.494","0.142","0.373","0.142","1.08","0.952","7/18/2023"
"ARE128","30","2023","8/01/2023 8:00:00 AM","0.189","0.033","0.628","0.244","0.065","0.025","0.023","0.498","0.171","0.506","0.193","1.138","0.789","7/25/2023"
"ARE128","31","2023","8/08/2023 8:00:00 AM","0.153","0.033","0.877","0.34","0.074","0.022","0.014","0.323","0.096","0.419","0.16","0.835","0.959","8/01/2023"
"ARE128","32","2023","8/15/2023 8:00:00 AM","0.165","0.034","0.715","0.277","0.065","0.029","0.015","0.528","0.201","0.483","0.184","1.358","0.904","8/08/2023"
"ARE128","33","2023","8/22/2023 8:00:00 AM","0.223","0.032","0.669","0.26","0.057","0.028","0.012","0.476","0.219","0.899","0.343","1.097","0.877","8/15/2023"
"ARE128","34","2023","8/29/2023 8:00:00 AM","0.186","0.072","0.781","0.303","0.059","0.04","0.131","0.405","0.573","0.356","0.136","0.977","1.341","8/22/2023"
"ARE128","35","2023","9/05/2023 8:00:00 AM","0.225","0.034","0.78","0.303","0.047","0.034","0.035","0.447","0.202","0.684","0.261","1.089","0.97","8/29/2023"
"ARE128","36","2023","9/12/2023 8:00:00 AM","0.185","0.032","1.022","0.397","0.067","0.032","0.043","0.44","0.216","0.388","0.148","1.383","1.222","9/05/2023"
"ARE128","37","2023","9/19/2023 8:00:00 AM","0.141","0.033","0.472","0.183","0.043","0.02","0.017","0.263","0.135","0.378","0.144","0.68","0.599","9/12/2023"
"ARE128","38","2023","9/26/2023 8:00:00 AM","0.13","0.092","0.363","0.141","0.032","0.03","0.079","0.24","0.42","0.305","0.116","0.51","0.777","9/19/2023"
"ARE128","39","2023","10/03/2023 8:00:00 AM","0.15","0.034","0.626","0.243","0.057","0.046","0.23","0.242","0.711","0.272","0.104","0.594","1.327","9/26/2023"
"ARE128","40","2023","10/10/2023 8:00:00 AM","0.259","0.083","0.503","0.195","0.059","0.058","0.226","0.329","0.813","0.266","0.102","0.899","1.307","10/03/2023"
"ARE128","41","2023","10/17/2023 8:00:00 AM","0.5","0.034","0.321","0.125","0.046","0.063","0.016","0.204","0.449","0.386","0.147","0.464","0.765","10/10/2023"
"ARE128","42","2023","10/24/2023 8:00:00 AM","0.149","0.03","0.733","0.284","0.035","0.016","0.017","0.312","0.255","0.28","0.107","0.744","0.976","10/17/2023"
"ARE128","43","2023","10/31/2023 8:00:00 AM","0.296","0.094","0.683","0.265","0.061","0.053","0.172","0.38","0.895","0.499","0.19","0.876","1.567","10/24/2023"
"ARE128","44","2023","11/07/2023 8:00:00 AM","0.282","0.029","1.23","0.477","0.056","0.036","0.047","0.433","0.558","0.662","0.253","0.92","1.768","10/31/2023"
"ARE128","45","2023","11/14/2023 8:00:00 AM","0.357","0.04","0.848","0.329","0.056","0.055","0.049","0.452","1.077","0.816","0.311","0.811","1.912","11/07/2023"
"ARE128","46","2023","11/21/2023 8:00:00 AM","0.509","0.124","1.014","0.393","0.063","0.118","0.153","0.449","1.225","0.791","0.302","0.643","2.223","11/14/2023"
"ARE128","47","2023","11/28/2023 8:00:00 AM","0.129","0.034","0.584","0.227","0.033","0.025","0.062","0.583","1.239","0.468","0.179","0.903","1.813","11/21/2023"
"ARE128","48","2023","12/05/2023 8:00:00 AM","0.197","0.035","0.676","0.262","0.052","0.025","0.022","0.719","1.867","0.46","0.176","0.829","2.533","11/28/2023"
"ARE128","49","2023","12/12/2023 8:00:00 AM","0.15","0.035","0.467","0.181","0.052","0.019","0.027","0.96","2.359","0.469","0.179","1.018","2.819","12/05/2023"
"ARE128","50","2023","12/19/2023 8:00:00 AM","0.204","0.056","0.914","0.355","0.042","0.03","0.066","0.401","1.384","0.775","0.296","0.512","2.284","12/12/2023"
"ARE128","51","2023","12/26/2023 8:00:00 AM","0.21","0.26","0.513","0.199","0.082","0.055","0.194","1.498","4.612","0.88","0.336","0.778","5.117","12/19/2023"
"ARE128","52","2023","1/02/2024 8:00:00 AM","0.038","0.044","0.478","0.185","0.031","0.008","0.016","0.504","0.773","0.692","0.264","0.76","1.244","12/26/2023"
"BAS601","27","2023","7/11/2023 8:00:00 AM","0.076","0.014","0.404","0.157","0.046","0.014","0.025","0.236","0.065","1.197","0.457","0.505","0.462","7/04/2023"
"BAS601","28","2023","7/18/2023 8:00:00 AM","0.164","0.014","0.472","0.183","0.06","0.025","0.031","0.255","0.09","1.011","0.386","0.502","0.555","7/11/2023"
"BAS601","29","2023","7/25/2023 8:00:00 AM","0.193","0.014","0.433","0.168","0.042","0.031","0.042","0.216","0.104","1.483","0.566","0.511","0.53","7/18/2023"
"BAS601","30","2023","8/01/2023 8:00:00 AM","0.155","0.014","0.488","0.189","0.037","0.025","0.039","0.224","0.127","1.507","0.575","0.557","0.607","7/25/2023"
"BAS601","31","2023","8/08/2023 8:00:00 AM","0.101","0.015","0.479","0.186","0.042","0.017","0.022","0.27","0.098","0.921","0.351","0.604","0.569","8/01/2023"
"BAS601","32","2023","8/15/2023 8:00:00 AM","0.145","0.015","0.418","0.162","0.038","0.022","0.025","0.206","0.095","0.768","0.293","0.478","0.506","8/08/2023"
"BAS601","33","2023","8/22/2023 8:00:00 AM","0.282","0.014","0.427","0.166","0.085","0.042","0.048","0.249","0.187","1.131","0.432","0.614","0.608","8/15/2023"
"BAS601","34","2023","8/29/2023 8:00:00 AM","0.18","0.014","0.43","0.167","0.047","0.029","0.044","0.219","0.163","0.863","0.329","0.546","0.586","8/22/2023"
"BAS601","35","2023","9/05/2023 8:00:00 AM","0.158","0.013","0.254","0.099","0.059","0.027","0.034","0.221","0.217","0.942","0.36","0.452","0.467","8/29/2023"
"BAS601","36","2023","9/12/2023 8:00:00 AM","0.13","0.017","0.47","0.182","0.048","0.02","0.024","0.266","0.116","0.763","0.291","0.499","0.579","9/05/2023"
"BAS601","37","2023","9/19/2023 8:00:00 AM","0.167","0.015","0.315","0.122","0.032","0.025","0.029","0.242","0.143","1.105","0.422","0.577","0.452","9/12/2023"
"BAS601","38","2023","9/26/2023 8:00:00 AM","0.18","0.015","0.279","0.108","0.039","0.028","0.046","0.203","0.179","1.165","0.445","0.594","0.454","9/19/2023"
"BAS601","39","2023","10/03/2023 8:00:00 AM","0.23","0.015","0.338","0.131","0.038","0.03","0.068","0.293","0.244","1.149","0.439","0.822","0.576","9/26/2023"
"BAS601","40","2023","10/10/2023 8:00:00 AM","0.104","0.013","0.281","0.109","0.042","0.012","0.015","0.146","0.085","0.541","0.206","0.354","0.362","10/03/2023"
"BAS601","41","2023","10/17/2023 8:00:00 AM","0.152","0.017","0.221","0.086","0.023","0.017","0.028","0.155","0.158","0.894","0.341","0.416","0.375","10/10/2023"
"BAS601","42","2023","10/24/2023 8:00:00 AM","0.238","0.015","0.242","0.094","0.033","0.026","0.044","0.2","0.245","1.555","0.593","0.523","0.484","10/17/2023"
"BAS601","43","2023","10/31/2023 8:00:00 AM","0.071","0.016","0.112","0.043","0.015","0.006","0.013","0.474","0.532","0.972","0.371","0.872","0.642","10/24/2023"
"BAS601","44","2023","11/07/2023 8:00:00 AM","0.17","0.015","0.255","0.099","0.025","0.015","0.016","0.259","0.304","1.465","0.559","0.592","0.554","10/31/2023"
"BAS601","45","2023","11/14/2023 8:00:00 AM","0.211","0.016","0.205","0.08","0.029","0.023","0.031","0.195","0.255","1.495","0.571","0.561","0.457","11/07/2023"
"BAS601","46","2023","11/21/2023 8:00:00 AM","0.265","0.019","0.202","0.078","0.035","0.028","0.04","0.229","0.34","1.924","0.734","0.628","0.539","11/14/2023"
"BAS601","47","2023","11/28/2023 8:00:00 AM","0.134","0.023","0.106","0.041","0.022","0.014","0.022","0.453","0.637","1.717","0.655","1.012","0.741","11/21/2023"
"BAS601","48","2023","12/05/2023 8:00:00 AM","0.153","0.034","0.096","0.037","0.029","0.014","0.027","0.834","1.386","3.238","1.236","1.316","1.48","11/28/2023"
"BAS601","49","2023","12/12/2023 8:00:00 AM","0.237","0.037","0.07","0.027","0.024","0.019","0.048","0.293","0.595","2.121","0.809","0.611","0.665","12/05/2023"
"BAS601","50","2023","12/19/2023 8:00:00 AM","0.173","0.029","0.053","0.021","0.028","0.016","0.02","0.549","0.995","2.385","0.91","0.957","1.047","12/12/2023"
"BAS601","51","2023","12/26/2023 8:00:00 AM","0.121","0.039","0.064","0.025","0.026","0.014","0.019","0.44","0.642","3.049","1.164","0.741","0.705","12/19/2023"
"BAS601","52","2023","1/02/2024 8:00:00 AM","0.143","0.034","0.074","0.029","0.029","0.014","0.026","0.547","1.065","2.247","0.858","0.802","1.138","12/26/2023"
"BBE401","27","2023","7/11/2023 8:00:00 AM","0.311","0.019","0.581","0.225","0.039","0.045","0.29","0.57","0.551","0.177","0.068","2.182","1.123","7/04/2023"
"BBE401","28","2023","7/18/2023 8:00:00 AM","0.612","0.157","0.533","0.207","0.064","0.071","0.381","0.522","0.656","0.341","0.13","1.877","1.181","7/11/2023"
"BBE401","29","2023","7/25/2023 8:00:00 AM","0.85","0.083","0.487","0.189","0.076","0.074","0.293","0.378","0.832","0.509","0.194","1.357","1.311","7/18/2023"
"BBE401","30","2023","8/01/2023 8:00:00 AM","0.868","0.081","0.368","0.143","0.087","0.092","0.308","0.303","1.061","0.316","0.121","1.374","1.423","7/25/2023"
"BBE401","31","2023","8/08/2023 8:00:00 AM","1.179","0.032","0.569","0.221","0.059","0.054","0.175","0.366","0.511","-","-","1.236","1.071","8/01/2023"
